ug 20 10:29:02 2020    call_gsas.prof

         27734897 function calls (27720644 primitive calls) in 188.165 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  188.165  188.165 profile:0(call_gsas((refls, weights, known_good, None)))
        1    0.000    0.000  188.164  188.164 :0(exec)
        1    0.000    0.000  188.164  188.164 <string>:1(<module>)
        1    0.000    0.000  188.164  188.164 mc_cellsearch.py:147(call_gsas)
        1    0.002    0.002  188.158  188.158 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:921(DoIndexPeaks)
       22    0.091    0.004  188.001    8.545 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:834(findBestCell)
     1345    0.711    0.001  173.433    0.129 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:789(refinePeaks)
    15420   54.429    0.004  145.711    0.009 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:1116(GenHBravais)
  2592014   23.068    0.000   23.068    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:887(calc_rDsq)
    14057    0.483    0.000   21.657    0.002 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:465(FitHKL)
 10042940   21.196    0.000   21.196    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:1013(SwapIndx)
   889414    8.261    0.000   20.678    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:62(<lambda>)
    14057    1.234    0.000   18.195    0.001 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/optimize/minpack.py:279(leastsq)
  5013760   13.006    0.000   13.006    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:1054(CentCheck)
   935674   12.732    0.000   12.732    0.000 :0(round)
    14265    5.892    0.000   11.654    0.001 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:324(IndexPeaks)
    15420    6.178    0.000   10.981    0.001 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:985(sortHKLd)
258328/244221    1.295    0.000   10.765    0.000 :0(implement_array_function)
    82326    2.013    0.000    7.218    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:468(errFit)
  2700375    7.115    0.000    7.115    0.000 :0(append)
    14057    0.749    0.000    6.577    0.000 :0(_lmder)
    27215    0.114    0.000    6.359    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:590(calc_V)
    28614    0.263    0.000    6.260    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:575(calc_rVsq)
    27215    0.285    0.000    6.246    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:585(calc_rV)
    45469    0.480    0.000    5.730    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:136(A2Gmat)
    46875    0.280    0.000    4.818    0.000 <__array_function__ internals>:2(inv)
    15420    0.271    0.000    4.790    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:957(MaxIndex)
    16843    0.131    0.000    4.590    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:173(A2cell)
    28114    0.501    0.000    4.532    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/optimize/minpack.py:22(_check_func)
    46875    1.512    0.000    4.209    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:477(inv)
   262331    3.983    0.000    3.983    0.000 :0(array)
   975144    2.580    0.000    2.580    0.000 :0(abs)
    16843    0.851    0.000    2.376    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:183(Gmat2cell)
    28614    0.169    0.000    2.352    0.000 <__array_function__ internals>:2(det)
    28614    0.714    0.000    1.996    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:2105(det)
    40155    1.476    0.000    1.846    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:474(dervFit)
    14057    0.524    0.000    1.843    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/basic.py:909(inv)
    75489    0.828    0.000    1.775    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/linalg/linalg.py:135(_commonType)
    14057    0.084    0.000    1.654    0.000 <__array_function__ internals>:2(triu)
    14057    0.191    0.000    1.479    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/lib/twodim_base.py:439(triu)
     1286    0.046    0.000    1.401    0.001 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:81(ranAbyV)
   285300    1.314    0.000    1.314    0.000 :0(bisect_right)
    14057    0.239    0.000    0.942    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/lib/twodim_base.py:346(tri)
